Red,Green,Blue,Gray,Index,Intensity,Temperature,Depth
255,0,215,0,17,101,16.255,3
253,3,225,3,17,103,16.255,2.25
255,3,254,3,17,107,16.255,2
255,3,154,3,13,96,12.642,0.75
253,0,119,0,26,89,24.384,3
249,3,8,3,29,77,27.094,2.25
255,4,27,4,24,82,22.577,2
255,0,47,0,25,82,23.481,0.75
254,0,212,0,18,100,17.158,3
255,4,233,4,18,105,17.158,2.25
255,1,255,1,18,106,17.158,2
254,5,149,5,15,96,14.448,0.75
253,0,124,0,3,90,3.6097,3
241,1,2,1,0,73,0.9,2.25
255,3,28,3,4,81,4.5129,2
255,0,48,0,9,82,9.029,0.75
253,0,213,0,17,100,16.255,3
253,2,229,2,17,103,16.255,2.25
255,2,253,2,17,106,16.255,2
255,8,140,8,12,97,11.739,0.75
254,0,122,0,27,90,25.287,3
248,2,7,2,28,76,26.19,2.25
254,2,27,2,4,80,4.5129,2
255,0,53,0,18,82,17.158,0.75
255,0,216,0,17,101,16.255,3
251,0,229,0,17,101,16.255,2.25
255,3,252,3,17,107,16.255,2
255,4,149,4,13,96,12.642,0.75
252,0,123,0,28,89,26.19,3
251,7,9,7,14,80,13.545,2.25
255,3,26,3,4,81,4.5129,2
255,0,48,0,10,82,9.9323,0.75
253,0,215,0,17,100,16.255,3
251,0,232,0,17,101,16.255,2.25
255,3,252,3,17,107,16.255,2
255,9,142,9,13,98,12.642,0.75
253,0,133,0,13,91,12.642,3
243,3,4,3,0,75,0.9,2.25
255,2,30,2,4,81,4.5129,2
255,0,49,0,28,82,26.19,0.75
255,0,220,0,16,101,15.352,3
252,0,233,0,16,102,15.352,2.25
255,3,252,3,16,107,15.352,2
255,4,149,4,14,96,13.545,0.75
253,0,128,0,29,90,27.094,3
250,10,11,10,21,82,19.868,2.25
255,3,28,3,4,81,4.5129,2
255,0,47,0,10,82,9.9323,0.75
255,0,222,0,17,102,16.255,3
249,0,230,0,17,101,16.255,2.25
255,3,251,3,17,107,16.255,2
255,8,150,8,14,98,13.545,0.75
255,0,130,0,29,91,27.094,3
255,13,15,13,13,86,12.642,2.25
255,3,28,3,4,81,4.5129,2
255,1,48,1,28,82,26.19,0.75
255,0,222,0,16,102,15.352,3
253,1,236,1,16,103,15.352,2.25
255,2,250,2,16,106,15.352,2
254,5,147,5,14,96,13.545,0.75
253,0,119,0,29,89,27.094,3
249,5,7,5,13,78,12.642,2.25
255,3,28,3,4,81,4.5129,2
255,0,45,0,10,81,9.9323,0.75
255,0,220,0,17,101,16.255,3
252,0,233,0,17,102,16.255,2.25
255,2,250,2,17,106,16.255,2
255,9,139,9,14,97,13.545,0.75
254,1,120,1,31,90,28.9,3
243,5,2,2,0,76,0.9,2.25
255,3,26,3,4,81,4.5129,2
255,1,45,1,10,82,9.9323,0.75
255,0,224,0,16,102,15.352,3
253,1,234,1,16,103,15.352,2.25
255,3,254,3,16,107,15.352,2
255,3,148,3,14,95,13.545,0.75
253,0,128,0,29,90,27.094,3
246,4,2,2,27,76,25.287,2.25
254,1,30,1,4,80,4.5129,2
255,0,45,0,10,81,9.9323,0.75
255,0,223,0,17,102,16.255,3
253,1,234,1,17,103,16.255,2.25
255,3,252,3,17,107,16.255,2
255,4,147,4,14,95,13.545,0.75
254,0,116,0,3,89,3.6097,3
245,7,4,4,0,78,0.9,2.25
255,2,30,2,4,81,4.5129,2
255,0,48,0,29,82,27.094,0.75
255,0,223,0,17,102,16.255,3
255,0,239,0,17,103,16.255,2.25
254,4,252,4,17,107,16.255,2
255,8,149,8,14,98,13.545,0.75
254,2,113,2,15,90,14.448,3
244,6,3,3,0,77,0.9,2.25
255,3,31,3,26,82,24.384,2
254,0,45,0,10,81,9.9323,0.75
255,0,229,0,16,102,15.352,3
255,0,235,0,16,103,15.352,2.25
255,2,251,2,16,106,15.352,2
255,6,148,6,14,97,13.545,0.75
253,0,116,0,3,89,3.6097,3
246,8,5,5,13,79,12.642,2.25
255,2,30,2,4,81,4.5129,2
255,0,50,0,28,82,26.19,0.75
255,0,227,0,17,102,16.255,3
255,0,238,0,17,103,16.255,2.25
254,1,252,1,17,105,16.255,2
254,5,147,5,14,96,13.545,0.75
255,0,127,0,3,91,3.6097,3
241,3,0,0,0,74,0.9,2.25
255,2,30,2,4,81,4.5129,2
255,0,48,0,10,82,9.9323,0.75
255,0,223,0,16,102,15.352,3
255,0,240,0,16,104,15.352,2.25
255,2,254,2,16,106,15.352,2
255,5,147,5,14,96,13.545,0.75
254,0,116,0,3,89,3.6097,3
241,3,0,0,0,74,0.9,2.25
254,1,29,1,4,80,4.5129,2
255,0,47,0,29,82,27.094,0.75
